,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Deutschland,Deutschland,LOC,0.00442478,0.19911504,de,22.60000000,4011882-4,-1.00000000,,,,EUROPE,Germany,WCE
Europa,Europa,LOC,0.02034884,0.20348837,de,17.20000000,4015701-5,6255148.00000000,X,48.69095900,9.14062000,EUROPE,Germany,WCE
Privacy Center,Privacy Center,LOC,0.00000000,0.00000000,de,12.70000000,,0.00000000,,,,,,
Nepal,Nepal,LOC,-0.12195122,0.00000000,de,8.20000000,4041612-4,-1.00000000,,,,ASIA,Nepal,TIB
Parsteiner See,Parsteiner See,LOC,0.00000000,0.18181818,de,5.50000000,4338728-7,-1.00000000,,,,EUROPE,Germany,WCE
Frankreich,Frankreich,LOC,0.05454545,0.00000000,de,5.50000000,,3017382.00000000,A,46.00000000,2.00000000,EUROPE,Frankreich,WCE
Klimawandel,Klimawandel,LOC,-0.15217391,0.00000000,de,4.60000000,,0.00000000,,,,,,
Deutschlands,Deutschlands,LOC,-0.27027027,0.00000000,de,3.70000000,,-1.00000000,,,,EUROPE,Germany,WCE
Brandenburg,Brandenburg,LOC,0.00000000,0.00000000,de,3.70000000,4007955-7,-1.00000000,,,,EUROPE,Germany,WCE
Rhein,Rhein,LOC,-0.09459459,0.13513514,de,3.70000000,4049739-2,-1.00000000,,,,EUROPE,Germany,WCE
Energiewende,Energiewende,LOC,0.56756757,0.00000000,de,3.70000000,,0.00000000,,,,,,
Elbe,Elbe,LOC,0.00000000,0.00000000,de,2.80000000,4115252-9,-1.00000000,,,,EUROPE,Germany,WCE
Suedlink,Suedlink,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Verkehrswende,Verkehrswende,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Tibet,Tibet,LOC,0.00000000,0.00000000,de,2.80000000,4111286-6,-1.00000000,,,,ASIA,China,TIB
Afghanistan,Afghanistan,LOC,-0.35714286,0.35714286,de,2.80000000,4000687-6,-1.00000000,,,,ASIA,Afghanistan,WCA
Himalaya,Himalaya,LOC,0.00000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Griechenland,Griechenland,LOC,-0.25000000,0.00000000,de,2.80000000,4022047-3,-1.00000000,,,,EUROPE-AFRICA,Greece,MED
Europas,Europas,LOC,0.25000000,0.35714286,de,2.80000000,,0.00000000,,,,,,
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.35714286,0.00000000,de,2.80000000,4036934-1,-1.00000000,,,,EUROPE,Germany,WCE
Bayern,Bayern,LOC,0.00000000,0.35714286,de,2.80000000,4005044-0,-1.00000000,,,,EUROPE,Germany,WCE
Förderstedt,Förderstedt,LOC,0.25000000,0.00000000,de,2.80000000,1081798629,-1.00000000,,,,EUROPE,Germany,WCE
Frankfurt,Frankfurt,LOC,0.00000000,0.00000000,de,2.80000000,4018118-2,-1.00000000,,,,EUROPE,Germany,WCE
…,…,LOC,0.25000000,0.00000000,de,2.80000000,,0.00000000,,,,,,
Vegetationsbränden,Vegetationsbränden,LOC,0.00000000,1.05263158,de,1.90000000,,0.00000000,,,,,,
Leuna,Leuna,LOC,0.36842105,0.00000000,de,1.90000000,4099566-5,-1.00000000,,,,EUROPE,Germany,WCE
E-Autos,E-Autos,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Marokko,Marokko,LOC,0.89473684,0.00000000,de,1.90000000,4037680-1,-1.00000000,,,,AFRICA,Morocco,SAH
USA,USA,LOC,0.00000000,0.00000000,de,1.90000000,4078704-7,6252001.00000000,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
Brandenburgs,Brandenburgs,LOC,0.36842105,0.52631579,de,1.90000000,,-1.00000000,,,,EUROPE,Germany,WCE
Tübingen,Tübingen,LOC,0.00000000,1.05263158,de,1.90000000,4061147-4,-1.00000000,,,,EUROPE,Germany,WCE
Barnim,Barnim,LOC,0.36842105,0.52631579,de,1.90000000,4013452-0,-1.00000000,,,,EUROPE,Germany,WCE
Niedersachsen,Niedersachsen,LOC,0.00000000,0.00000000,de,1.90000000,4042226-4,-1.00000000,,,,EUROPE,Germany,WCE
Schleswig-Holstein,Schleswig-Holstein,LOC,0.00000000,0.00000000,de,1.90000000,4052692-6,-1.00000000,,,,EUROPE,Germany,NEU
El Niño,El Niño,LOC,0.36842105,0.00000000,de,1.90000000,,-1.00000000,,,,PACIFIC,Ecuador,EPO
Erde,Erde,LOC,0.00000000,0.00000000,de,1.90000000,,6295630.00000000,L,0.00000000,0.00000000,ATLANTIC,,EAO
Banda,Banda,LOC,0.00000000,0.00000000,de,1.90000000,,-1.00000000,,,,ASIA,Indonesia,SEA
Landes,Landes,LOC,0.00000000,0.00000000,de,1.90000000,,-1.00000000,,,,EUROPE-AFRICA,France,MED
Senegals,Senegals,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Südsudans,Südsudans,LOC,-0.52631579,0.00000000,de,1.90000000,,0.00000000,,,,,,
Polens,Polens,LOC,0.36842105,0.00000000,de,1.90000000,,-1.00000000,,,,EUROPE,Poland,WCE
Meteorologen,Meteorologen,LOC,-0.36842105,0.00000000,de,1.90000000,,0.00000000,,,,,,
Akku,Akku,LOC,0.73684211,0.00000000,de,1.90000000,,-1.00000000,,,,EUROPE,Kazakhstan,EEU
Mont…,Mont…,LOC,0.00000000,0.00000000,de,1.90000000,,0.00000000,,,,,,
Dakar,Dakar,LOC,0.00000000,0.00000000,de,1.90000000,4010921-5,-1.00000000,,,,AFRICA,Senegal,WAF
Portugal,Portugal,LOC,0.00000000,0.00000000,de,1.90000000,4046843-4,-1.00000000,,,,EUROPE-AFRICA,Portugal,MED
Italien,Italien,LOC,0.00000000,0.00000000,de,1.90000000,4027833-5,-1.00000000,,,,EUROPE-AFRICA,Italy,MED
Spanien,Spanien,LOC,-0.36842105,0.00000000,de,1.90000000,4055964-6,-1.00000000,,,,EUROPE-AFRICA,Spain,MED
Brüssel,Brüssel,LOC,0.52631579,0.00000000,de,1.90000000,4008460-7,-1.00000000,,,,EUROPE,Belgium,WCE
<em,<em,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Diesel-Kraftstoff,Diesel-Kraftstoff,LOC,1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Faktencheck,Faktencheck,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Waldbrandfläche in Europa,Waldbrandfläche in Europa,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
ARD-Sommerinterview</em,ARD-Sommerinterview</em,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Strampelstadt am Neckar,Strampelstadt am Neckar,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Klimaforscher Rahmstorf,Klimaforscher Rahmstorf,LOC,-0.50000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Frankfurt am Main,Frankfurt am Main,LOC,0.00000000,0.00000000,de,1.00000000,4018118-2,-1.00000000,,,,EUROPE,Germany,WCE
Walddorfhäslach,Walddorfhäslach,LOC,0.00000000,0.00000000,de,1.00000000,4232775-1,-1.00000000,,,,EUROPE,Germany,WCE
Mais,Mais,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,SOUTH-AMERICA,French Guiana,NSA
Himalaya …,Himalaya …,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Great Barrier Reefs,Great Barrier Reefs,LOC,0.70000000,0.00000000,de,1.00000000,,-1.00000000,,,,OCEANIA,,NAU
Wasserstoff-Hybrid-Motor,Wasserstoff-Hybrid-Motor,LOC,-1.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Batteriespeicher-Hersteller Tesvolt,Batteriespeicher-Hersteller Tesvolt,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Ursachen,Ursachen,LOC,0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Windpark,Windpark,LOC,0.70000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Germany,NEU
Schilf,Schilf,LOC,-0.70000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Linz,Linz,LOC,0.00000000,0.00000000,de,1.00000000,4074255-6,-1.00000000,,,,EUROPE,Austria,WCE
Wetterdienst,Wetterdienst,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Neuseeland,Neuseeland,LOC,0.00000000,0.00000000,de,1.00000000,4041915-0,-1.00000000,,,,OCEANIA,New Zealand,NZ
Australien,Australien,LOC,0.00000000,0.00000000,de,1.00000000,4003900-6,-1.00000000,,,,OCEANIA,Australia,CAU
Staaten,Staaten,LOC,0.00000000,0.00000000,de,1.00000000,4078704-7,-1.00000000,,,,NORTH-AMERICA,United States,CNA
China,China,LOC,0.00000000,0.00000000,de,1.00000000,4009937-4,-1.00000000,,,,ASIA,China,EAS
Leyen,Leyen,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,The Netherlands,NEU
noc…,noc…,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Metro-Station Centrum,Metro-Station Centrum,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Sweden,NEU
Warschauer,Warschauer,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,EUROPE,Germany,WCE
Warschaus,Warschaus,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Polen,Polen,LOC,0.00000000,0.00000000,de,1.00000000,4046496-9,-1.00000000,,,,EUROPE,Poland,WCE
Wittenberg,Wittenberg,LOC,0.00000000,0.00000000,de,1.00000000,4066640-2,-1.00000000,,,,EUROPE,Germany,WCE
Distrikt Nuwakot,Distrikt Nuwakot,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Bidur,Bidur,LOC,0.00000000,0.00000000,de,1.00000000,,-1.00000000,,,,ASIA,Nepal,TIB
Pazifik,Pazifik,LOC,0.70000000,0.00000000,de,1.00000000,4044981-6,2363254.00000000,X,3.51342000,-132.18750000,PACIFIC,,EPO
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.00000000,0.00000000,de,1.00000000,4242861-0,-1.00000000,,,,EUROPE,Germany,WCE
Straße…,Straße…,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
Baden-Württemberg,Baden-Württemberg,LOC,0.00000000,0.00000000,de,1.00000000,4004176-1,-1.00000000,,,,EUROPE,Germany,WCE
Partikeln,Partikeln,LOC,0.00000000,0.00000000,de,1.00000000,,0.00000000,,,,,,
