,phrase,label,sentiment,subjectivity,language,count
“,“,MISC,-1.0,1.0,de,10.900000000000002
Energiewende“,Energiewende“,MISC,,,de,4.6
indigener,indigener,MISC,,,de,3.6999999999999997
Deutschem,Deutschem,MISC,,,de,2.8
AfD-Vorsitzende Chrupalla,AfD-Vorsitzende Chrupalla,MISC,,,de,1.9
dpa,dpa,MISC,,,de,1.9
Klimawandels,Klimawandels,MISC,,,de,1.9
XXL-Windpark,XXL-Windpark,MISC,,,de,1.9
Berliner,Berliner,MISC,,,de,1.9
Tanz im August,Tanz im August,MISC,,,de,1.9
Betonboom,Betonboom,MISC,,,de,1.9
Benzin-Ethanol-Gemischs,Benzin-Ethanol-Gemischs,MISC,,,de,1.9
deutsche,deutsche,MISC,,,de,1.9
indische,indische,MISC,,,de,1.9
deutschen,deutschen,MISC,,,de,1.9
UN-Konventionen,UN-Konventionen,MISC,,,de,1.9
Stirn,Stirn,MISC,,,de,1.0
Oxfam-Studie,Oxfam-Studie,MISC,,,de,1.0
Unser Kolumnist,Unser Kolumnist,MISC,,,de,1.0
Vorräte,Vorräte,MISC,,,de,1.0
Gegensteu…,Gegensteu…,MISC,,,de,1.0
Veronika Grimm,Veronika Grimm,MISC,,,de,1.0
Wirtschaftsweise Grimm,Wirtschaftsweise Grimm,MISC,,,de,1.0
Jahr 1949,Jahr 1949,MISC,,,de,1.0
Jahr 1949 zei…,Jahr 1949 zei…,MISC,,,de,1.0
chinesischer,chinesischer,MISC,,,de,1.0
Migration,Migration,MISC,,,de,1.0
Messbeginn,Messbeginn,MISC,,,de,1.0
ZiB 2,ZiB 2,MISC,,,de,1.0
Ohne den Klimawandel,Ohne den Klimawandel,MISC,,,de,1.0
DWD-Attributionsstudie,DWD-Attributionsstudie,MISC,,,de,1.0
Auf…,Auf…,MISC,,,de,1.0
Rek…,Rek…,MISC,,,de,1.0
chinesischen,chinesischen,MISC,,,de,1.0
Pazifischen Inselforums,Pazifischen Inselforums,MISC,,,de,1.0
weiterlesenEs,weiterlesenEs,MISC,,,de,1.0
Auto-Wende,Auto-Wende,MISC,,,de,1.0
Berliner Festival Tanz,Berliner Festival Tanz,MISC,,,de,1.0
polnische,polnische,MISC,,,de,1.0
Strompreis in Deutschland,Strompreis in Deutschland,MISC,,,de,1.0
Katastrophe,Katastrophe,MISC,,,de,1.0
The Day After Tomorrow,The Day After Tomorrow,MISC,,,de,1.0
Rekordhoch,Rekordhoch,MISC,,,de,1.0
Grundgesetz,Grundgesetz,MISC,,,de,1.0
Ihr seid,Ihr seid,MISC,,,de,1.0
Fünf Jahre Taliban,Fünf Jahre Taliban,MISC,,,de,1.0
Kabinett,Kabinett,MISC,,,de,1.0
Le-Pen-Partei,Le-Pen-Partei,MISC,,,de,1.0
Mais bien,Mais bien,MISC,,,de,1.0
hessischen,hessischen,MISC,,,de,1.0
ko…,ko…,MISC,,,de,1.0
EEG,EEG,MISC,,,de,1.0
Erneuerbare-Energien-Gesetzes,Erneuerbare-Energien-Gesetzes,MISC,,,de,1.0
Erneuerbare-Energien-Gesetz,Erneuerbare-Energien-Gesetz,MISC,,,de,1.0
Netzpaket,Netzpaket,MISC,,,de,1.0
Agroforst-Systeme,Agroforst-Systeme,MISC,,,de,1.0
EEG-Reform,EEG-Reform,MISC,,,de,1.0
Klimawandelskeptiker in Deutschland,Klimawandelskeptiker in Deutschland,MISC,,,de,1.0
P…,P…,MISC,,,de,1.0
Feinstaub,Feinstaub,MISC,,,de,1.0
Der lautlose Killer,Der lautlose Killer,MISC,,,de,1.0
Waldbrände und Gesundheit,Waldbrände und Gesundheit,MISC,,,de,1.0
S…,S…,MISC,,,de,1.0
Präsidentschaftswahl im Jahr 2027,Präsidentschaftswahl im Jahr 2027,MISC,,,de,1.0
Solarboom,Solarboom,MISC,,,de,1.0
PV,PV,MISC,,,de,1.0
Die anhaltende Dürre,Die anhaltende Dürre,MISC,,,de,1.0
BUND,BUND,MISC,,,de,1.0
Klimawandels…,Klimawandels…,MISC,,,de,1.0
El Niño,El Niño,MISC,-1.0,0.0,de,1.0
Leuna“,Leuna“,MISC,,,de,1.0
UmdenkeN,UmdenkeN,MISC,,,de,1.0
MDR-Wahlarenazur Landtagswahl,MDR-Wahlarenazur Landtagswahl,MISC,,,de,1.0
Unser Liveblog Herzlich,Unser Liveblog Herzlich,MISC,,,de,1.0
Krieg,Krieg,MISC,,,de,1.0
Offshore-Windprojekte,Offshore-Windprojekte,MISC,,,de,1.0
europäische,europäische,MISC,,,de,1.0
Energiewende in Polen,Energiewende in Polen,MISC,,,de,1.0
Wasserstoff-Boom,Wasserstoff-Boom,MISC,,,de,1.0
Hause,Hause,MISC,,,de,1.0
H…,H…,MISC,,,de,1.0
österreichische,österreichische,MISC,,,de,1.0
Legionellen-Ausbrüche,Legionellen-Ausbrüche,MISC,,,de,1.0
