,phrase,label,sentiment,subjectivity,language,count
Katherina Reiche,Katherina Reiche,PER,0.28947368421052627,0.0,de,1.9
Markus Krebber,Markus Krebber,PER,0.0,0.0,de,1.9
Carsten Schneider,Carsten Schneider,PER,-0.7105263157894738,0.0,de,1.9
Gerhard Neuscheler,Gerhard Neuscheler,PER,0.0,0.0,de,1.9
Wetter-Experte Axel Bojanowski,Wetter-Experte Axel Bojanowski,PER,-0.35,0.5,de,1.0
Helmut Salzer,Helmut Salzer,PER,0.0,0.0,de,1.0
Chinas Muskelspiel,Chinas Muskelspiel,PER,0.0,0.0,de,1.0
RWE-Chef Krebber,RWE-Chef Krebber,PER,0.0,0.0,de,1.0
Niels Hovius,Niels Hovius,PER,0.0,0.0,de,1.0
heliumgefüllte Flugkörper,heliumgefüllte Flugkörper,PER,0.0,0.0,de,1.0
Tino Chrupalla,Tino Chrupalla,PER,0.7,0.0,de,1.0
Tino Chrupallas,Tino Chrupallas,PER,1.0,0.0,de,1.0
Wen wunderts,Wen wunderts,PER,0.0,0.0,de,1.0
Le Pen,Le Pen,PER,0.0,0.0,de,1.0
Friedrich Merz,Friedrich Merz,PER,0.0,0.0,de,1.0
Jörg Kachelmann,Jörg Kachelmann,PER,0.0,0.0,de,1.0
Wetter-Experte Jörg Kachelmann,Wetter-Experte Jörg Kachelmann,PER,-0.7,0.0,de,1.0
Mario Petzold,Mario Petzold,PER,0.7,0.0,de,1.0
Jakob Mayr,Jakob Mayr,PER,0.0,0.0,de,1.0
Donald Tusk,Donald Tusk,PER,0.7,0.0,de,1.0
Norbert Totschni,Norbert Totschni,PER,0.0,0.0,de,1.0
Margit Laufer,Margit Laufer,PER,0.0,0.0,de,1.0
