,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,Urbane_Hitzeinsel,Invalid
2026-07-28,0.0,0,0.0,0.9,0.0,0,0.0,0.9,0,0,0,0,0,0
2026-07-29,0.9,0,0.9,1.8,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-07-31,0.0,0,0.0,0.9,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-02,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-03,0.9,0,0.9,0.9,0.9,0,0.0,0.0,0,0,0,0,0,0
2026-08-04,0.0,0,0.0,1.8,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-05,0.9,0,0.0,2.7,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-06,1.8,0,0.0,1.8,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-07,1.8,0,0.0,1.8,0.0,0,0.0,0.9,0,0,0,0,0,0
2026-08-10,0.0,0,0.0,0.9,0.9,0,0.0,0.0,0,0,0,0,0,0
2026-08-12,1.8,0,0.0,0.9,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-13,2.7,0,0.0,0.9,0.9,0,0.0,0.0,0,0,0,0,0,0
2026-08-14,3.6,0,0.0,0.0,1.8,0,0.0,0.0,0,0,0,0,0,0
2026-08-15,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-17,0.9,0,0.0,1.8,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-18,1.8,0,0.0,1.8,0.0,0,0.0,0.9,0,0,0,0,0,0
2026-08-19,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-20,4.5,0,0.0,0.0,0.9,0,0.0,0.0,0,0,0,0,0,0
2026-08-23,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-24,1.8,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-26,0.9,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-27,6.300000000000001,0,0.0,1.8,0.9,0,0.0,0.0,0,0,0,0,0,0
2026-08-30,4.5,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
2026-08-31,5.4,0,0.0,0.0,0.0,0,3.6,0.0,0,0,0,0,0,0
