,summary,Urbane_Hitzeinsel,Klimawandel,Tipping_Points,Oekologie,Energiewende,Landwirtschaft,Waermewende,Klimaextreme,Gesundheit,Wasserversorgung,Industrie,Geo_Engineering,Verkehrswende,word
summaryOfAllWords,42897.334540751806,1848.157834607984,17457.951596756302,3325.072409612338,2384.40233479484,3960.859798477959,2424.777297258849,0.0,2384.2085229830286,2418.000321335617,2384.2085229830286,2456.3987389326576,1853.2971630089762,0.0,
Energiewende,66.30459233814906,-2.9057335112924183,-3.5613262532104795,-3.0348902186429854,-2.957708960167005,2.330512386223758,-2.960963773389376,0.0,-2.9576787924005172,-2.961256472603454,-2.9576787924005172,-1.2745782634123615,-2.906455738932908,0.0,Energiewende
BUND,5.267685137203703,-0.37306536361488374,-1.028658105532945,-0.5022220709654506,-0.42504081248947,1.7448622883454163,-0.4282956257118416,0.0,-0.4250106447229827,-0.4285883249259192,-0.4250106447229827,-0.4360044287802376,-0.3737875912553734,0.0,BUND
energie+wende bund,4.077181287504681,-0.11688023921994085,-0.7724729811380018,-0.24603694657050756,-0.16885568809452692,1.4432504449421428,-0.17211050131689865,0.0,-0.1688255203280398,-0.17240320053097624,-0.1688255203280398,-0.17981930438529456,-0.11760246686043041,0.0,energie+wende bund
warnt,12.900973686005457,-0.14586810508919823,-0.1575411415207285,-0.14840149460319732,-0.1470002996897158,0.8811424064233664,-0.16199732502319927,0.0,-0.1469257113032928,-0.15961189802505105,-0.1469257113032928,-0.17424734633425912,-0.1483612697993384,0.0,warnt
bund warn+t,5.124251383791827,-0.3454587933636964,-1.0010515352817573,-0.474615500714263,-0.3974342422382826,1.7195852286918263,-0.40068905546065425,0.0,-0.3974040744717953,-0.40098175467473174,-0.3974040744717953,-0.40839785852905003,-0.3461810210041861,0.0,bund warn+t
Benachteiligung,4.958929495777343,-0.31266424044244356,-0.9682569823605047,-0.44182094779301045,-0.36463968931702995,1.6877407296299602,-0.3678945025394015,0.0,-0.36460952155054255,-0.36818720175347913,-0.36460952155054255,-0.37560330560779737,-0.3133864680829333,0.0,Benachteiligung
warn+t benachteiligung,4.958929495777343,-0.31266424044244356,-0.9682569823605047,-0.44182094779301045,-0.36463968931702995,1.6877407296299602,-0.3678945025394015,0.0,-0.36460952155054255,-0.36818720175347913,-0.36460952155054255,-0.37560330560779737,-0.3133864680829333,0.0,warn+t benachteiligung
kleiner,4.819096169631892,-0.2840607442691297,-0.9396534861871907,-0.41321745161969636,-0.33603619314371586,1.6582075540800172,-0.3392910063660875,0.0,-0.3360060253772287,-0.3395837055801651,-0.3360060253772287,-0.34699980943448333,-0.2847829719096192,0.0,kleiner
benachteiligung klein+er,4.819096169631892,-0.2840607442691297,-0.9396534861871907,-0.41321745161969636,-0.33603619314371586,1.6582075540800172,-0.3392910063660875,0.0,-0.3360060253772287,-0.3395837055801651,-0.3360060253772287,-0.34699980943448333,-0.2847829719096192,0.0,benachteiligung klein+er
Photovoltaik-Anlagen,4.1342761715548875,-0.1307866144159542,-0.7863793563340151,-0.25994332176652085,-0.18276206329054034,1.4645340076458482,-0.18601687651291207,0.0,-0.18273189552405317,-0.18630957572698956,-0.18273189552405317,-0.19372567958130796,-0.1315088420564438,0.0,Photovoltaik-Anlagen
klein+er photovoltaik+-+anlage+n,4.1342761715548875,-0.1307866144159542,-0.7863793563340151,-0.25994332176652085,-0.18276206329054034,1.4645340076458482,-0.18601687651291207,0.0,-0.18273189552405317,-0.18630957572698956,-0.18273189552405317,-0.19372567958130796,-0.1315088420564438,0.0,klein+er photovoltaik+-+anlage+n
Hier,35.1589662615939,-0.2407730702260545,0.04759186215652669,-0.15934441502148108,-0.20602434504322306,0.5979950541844158,-0.2224523959667726,0.0,-0.20594441204195543,-0.21973736640746636,-0.20594441204195543,-0.23526571717549558,-0.24349054647038026,0.0,Hier
photovoltaik+-+anlage+n hier,3.6320982115992306,-0.0012848514759618386,-0.656877593394023,-0.13044155882652866,-0.05326030035054803,1.2314426469767816,-0.056515113572919676,0.0,-0.05323013258406081,-0.056807812786997244,-0.05323013258406081,-0.06422391664131549,-0.002007079116451494,0.0,photovoltaik+-+anlage+n hier
finden,36.325502148395934,-0.366877048807671,-0.10495816173923528,-0.2935895441037469,-0.3356833462734888,1.092429849770402,-0.35204755883631833,0.0,-0.3356036513376503,-0.34934724990386534,-0.3356036513376503,-0.3079010664019606,-0.36958431745755976,0.0,finden
hier find+en,32.150459686013036,-0.24478376442489785,0.017135122643537976,-0.17149625972097363,-0.21359006189071547,0.6885222761224199,-0.22995427445354513,0.0,-0.21351036695487702,-0.22725396552109203,-0.21351036695487702,-0.24274241414857012,-0.24749103307478645,0.0,hier find+en
Sie,101.80467259643264,-0.5662570306001655,-0.09843576208679461,-0.4255563673333674,-0.5051323458480866,1.2674659782559607,-0.521820144331015,0.0,-0.5050514445747898,-0.5190452011803868,-0.5050514445747898,-0.46528937371196694,-0.5690165829581083,0.0,Sie
find+en sie,36.099315112590375,-0.3726559186127043,-0.11420510186439381,-0.3004250027895369,-0.3419224024255603,1.112543124203998,-0.35827760548156734,0.0,-0.3418427410907378,-0.355579373936101,-0.3418427410907378,-0.31380026056375554,-0.3753617495097805,0.0,find+en sie
