keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Klimawandel Verursacher',de,Klimawandel,#ff0000,#ff0000,2,0.81090009
'Klimawandel Ursachen',de,Klimawandel,#ff0000,#ff0000,2,0.7251277829999999
'Kipppunkte Klimawandel',de,Tipping_Points,#ffff88,#ffff88,1,0.695150015
'Klimawandel Treibhausgase',de,Klimawandel,#ff0000,#ff0000,1,0.675750525
'Klimawandel Sonnenaktivität',de,Klimawandel,#ff0000,#ff0000,1,0.65025
'Klimawandel Emissionen',de,Klimawandel,#ff0000,#ff0000,3,0.593495370075
'Klimawandel',de,Klimawandel,#ff0000,#ff0000,3,0.5896616217545455
'Klimawandel Vulkanausbrüche',de,Klimawandel,#ff0000,#ff0000,1,0.5810045679375
'Tipping Points Klimawandel',de,Tipping_Points,#ffff88,#ffff88,1,0.5736775427499999
'Klimawandel Migration',de,Klimawandel,#ff0000,#ff0000,2,0.5712772546125
'Klimawandel Konsum',de,Klimawandel,#ff0000,#ff0000,1,0.554412996525
'Klimawandel Aerosole',de,Klimawandel,#ff0000,#ff0000,1,0.5538920679375
'Klimanotstand',de,Klimawandel,#ff0000,#ff0000,1,0.5531176163625
'Klimawandel Anpassungsmassnahmen',de,Klimawandel,#ff0000,#ff0000,1,0.5531175513375001
'Klimawandel Adaption',de,Klimawandel,#ff0000,#ff0000,1,0.5528208985875
'Klimawandel Mitigation',de,Klimawandel,#ff0000,#ff0000,1,0.5527124999999999
'Anthropogener Klimawandel',de,Klimawandel,#ff0000,#ff0000,1,0.54657125
'Klimawandel Kohlendioxid',de,Klimawandel,#ff0000,#ff0000,2,0.52144726821375
'Ökologie Klimawandel',de,Oekologie,#88ffff,#88ffff,1,0.4128693674055356
'Energiewende',de,Energiewende,#88ff88,#88ff88,3,0.2575988187194466
'Landwirtschaft Klimawandel',de,Landwirtschaft,#00ff00,#00ff00,3,0.2349033155453851
'Wärmewende',de,Waermewende,#ffff00,#ffff00,2,0.2170047519196466
'Klimaextreme Klimawandel',de,Klimaextreme,#0000ff,#0000ff,2,0.2101041742076703
'Gesundheit Klimawandel',de,Gesundheit,#ff8888,#ff8888,3,0.2035949370878094
'Energiewende Klimawandel',de,Energiewende,#ff88ff,#ff88ff,1,0.1898437218694051
'Wasserversorgung Klimawandel',de,Wasserversorgung,#ffffff,#ffffff,2,0.1871170669790395
'Industrie Klimawandel',de,Industrie,#000000,#000000,2,0.1707173632890979
'Geo Engineering Klimawandel',de,Geo_Engineering,#00ffff,#00ffff,1,0.1171402705827298
'Verkehrswende',de,Verkehrswende,#8888ff,#8888ff,1,0.1171402705827298
'Urbane Wärmeinsel Klimawandel',de,Urbane_Hitzeinsel,#ff00ff,#ff00ff,1,0.0847259734578972
